Date,Time,Home,HG,HxGt,HxGp,Away,AG,AxGt,AxGp,GD,xGDt,xGDp,Final,HxPts,AxPts
2019-05-07,,FC Baltimore Christos,1,,,West Chester United SC,1,,,,,,,,
2019-05-07,,Lakeland Tropics FC,1,,,The Villages SC,1,,,,,,,,
2019-05-07,,NYRB (USL),4,,,FC Motown,4,,,,,,,,
2019-05-07,,RIC (USL1),6,,,Virginia United FC,2,,,,,,,,
2019-05-07,,Milwaukee Bavarians,0,,,MAD (USL1),2,,,,,,,,
2019-05-07,,Orange County FC,2,,,FC Golden State Force,0,,,,,,,,
2019-05-07,,Academica SC,1,,,El Farolito,2,,,,,,,,
2019-05-07,,Cal FC,5,,,FC Mulhouse Portland,1,,,,,,,,
2019-05-07,,TRM (USL1),23,,,CHA (USL1),0,,,,,,,,
2019-05-07,,Laredo Heat,1,,,Brazos Valley Cavalry FC,0,,,,,,,,
2019-05-08,,Little Rock Rangers SC,2,,,NTX Rayados,2,,,,,,,,
2019-05-08,,Des Moines Menace,1,,,Duluth FC,1,,,,,,,,
2019-05-08,,Erie Admirals SC,1,,,Dayton,2,,,,,,,,
2019-05-08,,MIA (USL),1,,,Florida Soccer Soldiers,2,,,,,,,,
2019-05-08,,Reading United AC,2,,,Junior Lone Star FC,1,,,,,,,,
2019-05-08,,GVL (USL1),1,,,TRM (USL1),0,,,,,,,,
2019-05-08,,New York Cosmos B,2,,,Black Rock FC,1,,,,,,,,
2019-05-08,,Midland/Odessa Sockers,1,,,FC Denver,2,,,,,,,,
2019-05-08,,LAN (USL1),2,,,AFC Ann Arbor,1,,,,,,,,
2019-05-14,,CLTI (USL1),2,,,Florida Soccer Soldiers,2,,,,,,,,
2019-05-14,,TBR (USL),4,,,The Villages SC,1,,,,,,,,
2019-05-14,,PIT (USL),3,,,Dayton,0,,,,,,,,
2019-05-14,,HFD (USL),2,,,New York Cosmos B,1,,,,,,,,
2019-05-14,,NSH (USL),3,,,Tormenta FC 2,2,,,,,,,,
2019-05-14,,SA (USL),2,,,Laredo Heat,0,,,,,,,,
2019-05-14,,LV (USL),2,,,Cal FC,0,,,,,,,,
2019-05-14,,OKC (USL),3,,,NTX Rayados,1,,,,,,,,
2019-05-14,,ATX (USL),2,,,Tulsa,0,,,,,,,,
2019-05-15,,Des Moines Menace,1,,,STL (USL),1,,,,,,,,
2019-05-15,,OC (USL),2,,,Orange County FC,2,,,,,,,,
2019-05-15,,PHX (USL),2,,,NM (USL),2,,,,,,,,
2019-05-15,,El Farolito,0,,,FRS (USL),1,,,,,,,,
2019-05-15,,NC (USL1),4,,,RIC (USL1),1,,,,,,,,
2019-05-15,,GVL (USL1),1,,,CHS (USL),2,,,,,,,,
2019-05-15,,IND (USL),1,,,LAN (USL1),0,,,,,,,,
2019-05-15,,LOU (USL),3,,,Reading United AC,0,,,,,,,,
2019-05-15,,COS (USL),1,,,FC Denver,0,,,,,,,,
2019-05-15,,MEM (USL),3,,,NYRB (USL),1,,,,,,,,
2019-05-15,,BHM (USL),4,,,West Chester United SC,1,,,,,,,,
2019-05-15,,SAC (USL),1,,,RNO (USL),0,,,,,,,,
2019-05-15,,ELP (USL),0,,,MAD (USL1),3,,,,,,,,
2019-05-28,,OKC (USL),4,,,TBR (USL),3,,,,,,,,
2019-05-29,,COS (USL),1,,,NM (USL),2,,,,,,,,
2019-05-29,,SAC (USL),1,,,FRS (USL),0,,,,,,,,
2019-05-29,,NSH (USL),1,,,CHS (USL),1,,,,,,,,
2019-05-29,,NC (USL1),1,,,Florida Soccer Soldiers,0,,,,,,,,
2019-05-29,,LOU (USL),1,,,BHM (USL),0,,,,,,,,
2019-05-29,,PIT (USL),1,,,IND (USL),0,,,,,,,,
2019-05-29,,MEM (USL),4,,,HFD (USL),0,,,,,,,,
2019-05-29,,LV (USL),3,,,Orange County FC,5,,,,,,,,
2019-05-29,,ATX (USL),4,,,SA (USL),2,,,,,,,,
2019-05-29,,STL (USL),3,,,MAD (USL1),1,,,,,,,,
2019-06-11,,NYRB,2,,,NER,3,,,,,,,,
2019-06-11,,CLB,1,,,PIT (USL),0,,,,,,,,
2019-06-11,,HOU,3,,,ATX (USL),2,,,,,,,,
2019-06-11,,STL (USL),2,,,CHI,1,,,,,,,,
2019-06-11,,SJE,4,,,SAC (USL),3,,,,,,,,
2019-06-11,,RSL,0,,,LAFC,3,,,,,,,,
2019-06-12,,DCU,2,,,PHI,1,,,,,,,,
2019-06-12,,CIN,2,,,LOU (USL),1,,,,,,,,
2019-06-12,,COL,2,,,NM (USL),2,,,,,,,,
2019-06-12,,NYC,4,,,NC (USL1),0,,,,,,,,
2019-06-12,,FCD,4,,,OKC (USL),0,,,,,,,,
2019-06-12,,MIN,4,,,SKC,1,,,,,,,,
2019-06-12,,LAG,3,,,Orange County FC,0,,,,,,,,
2019-06-12,,MEM (USL),1,,,ORL,3,,,,,,,,
2019-06-12,,SEA,1,,,POR,2,,,,,,,,
2019-06-13,,ATL,3,,,CHS (USL),1,,,,,,,,
2019-06-18,,HOU,2,,,MIN,3,,,,,,,,
2019-06-18,,CLB,2,,,ATL,3,,,,,,,,
2019-06-19,,ORL,2,,,NER,1,,,,,,,,
2019-06-19,,DCU,1,,,NYC,2,,,,,,,,
2019-06-19,,FCD,1,,,NM (USL),2,,,,,,,,
2019-06-19,,STL (USL),1,,,CIN,0,,,,,,,,
2019-06-19,,POR,4,,,LAG,0,,,,,,,,
2019-06-20,,LAFC,3,,,SJE,1,,,,,,,,
2019-07-10,,ORL,1,,,NYC,1,,,,,,,,
2019-07-10,,ATL,2,,,STL (USL),0,,,,,,,,
2019-07-10,,MIN,6,,,NM (USL),1,,,,,,,,
2019-07-10,,LAFC,0,,,POR,1,,,,,,,,
2019-08-06,,ORL,0,,,ATL,2,,,,,,,,
2019-08-07,,MIN,2,,,POR,1,,,,,,,,
2019-08-27,,ATL,2,,,MIN,1,,,,,,,,
2022-03-22,,Cleveland SC,2,,,Chicago FC United,1,,,,,,,,
2022-03-22,,The Villages SC,6,,,Orlando FC Wolves,0,,,,,,,,
2022-03-22,,Hartford City FC,0,,,Oyster Bay United FC,3,,,,,,,,
2022-03-23,,San Fernando Valley FC,6,,,Escondido FC,2,,,,,,,,
2022-03-23,,Ocean City Nor'easters,1,,,Lansdowne Bhoys FC,1,,,,,,,,
2022-03-23,,Miami United FC,3,,,City Soccer FC,1,,,,,,,,
2022-03-23,,Western Mass Pioneers,2,,,Brockton FC United,0,,,,,,,,
2022-03-22,,Southern States SC,3,,,Georgia Revolution,1,,,,,,,,
2022-03-22,,Denton Diablos FC,2,,,D'Feeters Kicks SC,3,,,,,,,,
2022-03-23,,Tulsa Athletic,3,,,Azteca FC,0,,,,,,,,
2022-03-23,,Des Moines Menace,4,,,Minneapolis City SC,2,,,,,,,,
2022-03-23,,Timbers,2,,,Contra Costa FC,1,,,,,,,,
2022-03-23,,Las Vegas Legends,3,,,Park City Red Wolves,2,,,,,,,,
2022-03-30,,Lynchburg FC,1,,,Northern Virginia Royals,3,,,,,,,,
2022-04-01,,FC Motown,1,,,West Chester United SC,0,,,,,,,,
2022-04-05,,CLTI (USL1),2,,,NC Fusion U23,4,,,,,,,,
2022-04-05,,PIT (USL),2,,,Maryland Bobcats FC,0,,,,,,,,
2022-04-05,,DET (USL),3,,,Michigan Stars FC,0,,,,,,,,
2022-04-05,,TBR (USL),6,,,The Villages SC,0,,,,,,,,
2022-04-05,,IND (USL),0,,,St. Louis City SC 2,2,,,,,,,,
2022-04-06,,FC Motown,1,,,AC Syracuse Pulse,0,,,,,,,,
2022-04-06,,MIA (USL),3,,,Miami United FC,0,,,,,,,,
2022-04-06,,NC (USL1),1,,,RGV Toros,2,,,,,,,,
2022-04-05,,OMA (USL1),2,,,Des Moines Menace,1,,,,,,,,
2022-04-05,,SA (USL),3,,,D'Feeters Kicks SC,1,,,,,,,,
2022-04-06,,LOU (USL),1,,,CHA (USL1),0,,,,,,,,
2022-04-05,,CVF (USL1),4,,,ELP (USL),1,,,,,,,,
2022-04-05,,FC Tulsa,2,,,Tulsa Athletic,1,,,,,,,,
2022-04-06,,Western Mass Pioneers,0,,,Flower City Union,1,,,,,,,,
2022-04-05,,NM (USL),5,,,Las Vegas Legends,0,,,,,,,,
2022-04-05,,OC (USL),5,,,Los Angeles Force,2,,,,,,,,
2022-04-07,,CHS (USL),0,,,TRM (USL1),1,,,,,,,,
2022-04-07,,Rochester,1,,,Lansdowne Bhoys FC,0,,,,,,,,
2022-04-07,,GVL (USL1),2,,,Roots,0,,,,,,,,
2022-04-07,,Chattanooga FC,3,,,MEM (USL),1,,,,,,,,
2022-04-06,,MAD (USL1),3,,,Cleveland SC,0,,,,,,,,
2022-04-06,,COS (USL),0,,,NCO (USL1),1,,,,,,,,
2022-04-07,,HFD (USL),3,,,Oyster Bay United FC,1,,,,,,,,
2022-04-06,,TUC (USL1),3,,,LV (USL),2,,,,,,,,
2022-04-06,,PHX (USL),1,,,Valley United FC,0,,,,,,,,
2022-04-06,,Bay Cities FC,2,,,MB (USL),1,,,,,,,,
2022-04-06,,Albion SC Pros,1,,,SD (USL),2,,,,,,,,
2022-04-06,,Northern Virginia Royals,0,,,RIC (USL1),1,,,,,,,,
2022-04-07,,BHM (USL),3,,,Southern States SC,1,,,,,,,,
2022-04-07,,SAC (USL),6,,,Timbers,0,,,,,,,,
2022-04-07,,California Strikers,5,,,San Fernando Valley FC,0,,,,,,,,
2022-04-19,,CIN,2,,,PIT (USL),0,,,,,,,,
2022-04-19,,MIA (USL),0,,,MIA,1,,,,,,,,
2022-04-19,,Flower City Union,0,,,DCU,3,,,,,,,,
2022-04-19,,DET (USL),2,,,CLB,1,,,,,,,,
2022-04-20,,MAD (USL1),0,,,MIN,2,,,,,,,,
2022-04-20,,Rochester,2,,,FC Motown,2,,,,,,,,
2022-04-20,,RIC (USL1),1,,,NC Fusion U23,0,,,,,,,,
2022-04-19,,CHI,2,,,OMA (USL1),2,,,,,,,,
2022-04-20,,ORL,2,,,TBR (USL),1,,,,,,,,
2022-04-19,,BHM (USL),0,,,TRM (USL1),2,,,,,,,,
2022-04-20,,HFD (USL),1,,,NYRB,2,,,,,,,,
2022-04-20,,GVL (USL1),1,,,CLT,2,,,,,,,,
2022-04-19,,FCD,2,,,FC Tulsa,1,,,,,,,,
2022-04-19,,HOU,2,,,RGV Toros,1,,,,,,,,
2022-04-19,,LAG,1,,,SD (USL),0,,,,,,,,
2022-04-19,,TUC (USL1),1,,,California Strikers,2,,,,,,,,
2022-04-19,,SJE,5,,,Bay Cities FC,0,,,,,,,,
2022-04-20,,LOU (USL),0,,,St. Louis City SC 2,0,,,,,,,,
2022-04-20,,ATL,6,,,Chattanooga FC,0,,,,,,,,
2022-04-20,,LAFC,5,,,OC (USL),1,,,,,,,,
2022-04-20,,PHX (USL),2,,,NM (USL),1,,,,,,,,
2022-04-20,,SAC (USL),2,,,CVF (USL1),1,,,,,,,,
2022-04-20,,RSL,0,,,NCO (USL1),1,,,,,,,,
2022-04-20,,SA (USL),2,,,ATX,1,,,,,,,,
2022-05-10,,ORL,2,,,PHI,1,,,,,,,,
2022-05-10,,DET (USL),1,,,LOU (USL),1,,,,,,,,
2022-05-10,,DCU,0,,,NYRB,3,,,,,,,,
2022-05-11,,RIC (USL1),1,,,CLT,5,,,,,,,,
2022-05-11,,NER,5,,,CIN,1,,,,,,,,
2022-05-11,,NYC,3,,,Rochester,1,,,,,,,,
2022-05-10,,SKC,4,,,FCD,2,,,,,,,,
2022-05-10,,LAFC,2,,,POR,0,,,,,,,,
2022-05-10,,MIA,3,,,TRM (USL1),1,,,,,,,,
2022-05-12,,MIN,2,,,COL,1,,,,,,,,
2022-05-11,,NSH,3,,,ATL,2,,,,,,,,
2022-05-11,,SEA,2,,,SJE,2,,,,,,,,
2022-05-11,,OMA (USL1),2,,,NCO (USL1),0,,,,,,,,
2022-05-11,,California Strikers,2,,,LAG,3,,,,,,,,
2022-05-11,,SAC (USL),2,,,PHX (USL),0,,,,,,,,
2022-05-11,,HOU,1,,,SA (USL),0,,,,,,,,
2022-05-25,,ORL,1,,,MIA,1,,,,,,,,
2022-05-25,,LOU (USL),1,,,NSH,2,,,,,,,,
2022-05-25,,NYC,1,,,NER,0,,,,,,,,
2022-05-25,,MIN,1,,,OMA (USL1),2,,,,,,,,
2022-05-25,,SKC,2,,,HOU,1,,,,,,,,
2022-05-25,,LAG,3,,,LAFC,1,,,,,,,,
2022-05-25,,SAC (USL),2,,,SJE,0,,,,,,,,
2022-05-25,,NYRB,3,,,CLT,1,,,,,,,,
2022-06-21,,LAG,1,,,SAC (USL),2,,,,,,,,
2022-06-22,,SKC,6,,,OMA (USL1),0,,,,,,,,
2022-06-22,,NYRB,3,,,NYC,0,,,,,,,,
2022-06-29,,ORL,1,,,NSH,1,,,,,,,,
2022-07-27,,ORL,5,,,NYRB,1,,,,,,,,
2022-07-27,,SAC (USL),0,,,SKC,0,,,,,,,,
2022-09-07,,ORL,3,,,SAC (USL),0,,,,,,,,
2023-03-21,,West Chester United SC,1,,,Ocean City Nor'easters,3,,,,,,,,
2023-03-22,,El Farolito,3,,,Inter San Francisco,0,,,,,,,,
2023-03-22,,Manhattan SC,2,,,FC Motown,1,,,,,,,,
2023-03-22,,Club de Lyon FC II,0,,,Nona FC,1,,,,,,,,
2023-03-22,,Appalachian FC,2,,,NC Fusion U23,2,,,,,,,,
2023-03-23,,Jacksonville United FC,1,,,Miami United FC,1,,,,,,,,
2023-03-22,,Tulsa Athletic,1,,,Brazos Valley Cavalry FC,0,,,,,,,,
2023-03-22,,Chicago House AC,1,,,Milwaukee Bavarians,0,,,,,,,,
2023-03-22,,Beaman United FC,0,,,Des Moines Menace,3,,,,,,,,
2023-03-23,,Cleveland SC,1,,,Lionsbridge FC,0,,,,,,,,
2023-03-22,,Ventura County Fusion,1,,,Capo FC,4,,,,,,,,
2023-03-22,,UDA Soccer NM,1,,,Park City Red Wolves,0,,,,,,,,
2023-03-22,,Project 51O,0,,,Washington Crossfire,3,,,,,,,,
2023-03-23,,Hartford City FC,1,,,Lansdowne Bhoys FC,2,,,,,,,,
2023-04-04,,MIA (USL),3,,,Jacksonville United FC,1,,,,,,,,
2023-04-04,,KNX (USL1),1,,,MEM (USL),2,,,,,,,,
2023-04-04,,HFD (USL),3,,,Lansdowne Bhoys FC,0,,,,,,,,
2023-04-04,,Flower City Union,3,,,Manhattan SC,1,,,,,,,,
2023-04-04,,TBR (USL),2,,,Nona FC,0,,,,,,,,
2023-04-04,,DET (USL),1,,,Gold Star FC Detroit,0,,,,,,,,
2023-04-04,,Roots,3,,,El Farolito,1,,,,,,,,
2023-04-05,,CLTI (USL1),2,,,Appalachian FC,0,,,,,,,,
2023-04-04,,NM (USL),6,,,UDA Soccer NM,0,,,,,,,,
2023-04-05,,Maryland Bobcats FC,3,,,Ocean City Nor'easters,2,,,,,,,,
2023-04-05,,LDN (USL),2,,,NC (USL1),1,,,,,,,,
2023-04-05,,Chat'ga Red Wolves,1,,,BHM (USL),4,,,,,,,,
2023-04-05,,TRM (USL1),2,,,RGV Toros,1,,,,,,,,
2023-04-05,,LOU (USL),1,,,LEX (USL1),0,,,,,,,,
2023-04-04,,CHS (USL),4,,,Savannah Clovers FC,1,,,,,,,,
2023-04-04,,SA (USL),2,,,Club de Lyon FC,1,,,,,,,,
2023-04-05,,OMA (USL1),2,,,ELP (USL),0,,,,,,,,
2023-04-05,,Des Moines Menace,1,,,Chattanooga FC,4,,,,,,,,
2023-04-05,,COS (USL),1,,,NCO (USL1),3,,,,,,,,
2023-04-05,,LV (USL),4,,,Los Angeles Force,0,,,,,,,,
2023-04-05,,SD (USL),2,,,Albion SC Pros,0,,,,,,,,
2023-04-05,,OC (USL),5,,,Capo FC,0,,,,,,,,
2023-04-05,,SAC (USL),5,,,Washington Crossfire,4,,,,,,,,
2023-04-05,,CVF (USL1),1,,,MB (USL),3,,,,,,,,
2023-04-06,,RIC (USL1),3,,,Cleveland SC,2,,,,,,,,
2023-04-05,,Tulsa Athletic,1,,,FC Tulsa,0,,,,,,,,
2023-04-05,,PHX (USL),1,,,GVL (USL1),0,,,,,,,,
2023-04-05,,IND (USL),3,,,Michigan Stars FC,1,,,,,,,,
2023-04-11,,MAD (USL1),2,,,Chicago House AC,3,,,,,,,,
2023-04-25,,PIT (USL),2,,,Maryland Bobcats FC,0,,,,,,,,
2023-04-25,,CHS (USL),1,,,CLTI (USL1),0,,,,,,,,
2023-04-25,,DET (USL),1,,,MIN,3,,,,,,,,
2023-04-25,,NER,2,,,HFD (USL),1,,,,,,,,
2023-04-25,,CLT,4,,,TRM (USL1),1,,,,,,,,
2023-04-25,,STL,5,,,OMA (USL1),1,,,,,,,,
2023-04-25,,MB (USL),1,,,SJE,0,,,,,,,,
2023-04-26,,LDN (USL),5,,,Flower City Union,0,,,,,,,,
2023-04-26,,CIN,1,,,LOU (USL),0,,,,,,,,
2023-04-26,,TBR (USL),0,,,HOU,1,,,,,,,,
2023-04-26,,DCU,1,,,RIC (USL1),0,,,,,,,,
2023-04-25,,SKC,3,,,Tulsa Athletic,0,,,,,,,,
2023-04-26,,MIA (USL),2,,,MIA,2,,,,,,,,
2023-04-26,,CLB,1,,,IND (USL),0,,,,,,,,
2023-04-26,,ATL,1,,,MEM (USL),2,,,,,,,,
2023-04-26,,LV (USL),1,,,RSL,3,,,,,,,,
2023-04-26,,CHI,3,,,Chicago House AC,0,,,,,,,,
2023-04-26,,NM (USL),2,,,PHX (USL),1,,,,,,,,
2023-04-26,,SAC (USL),1,,,Roots,0,,,,,,,,
2023-04-26,,COL,3,,,NCO (USL1),1,,,,,,,,
2023-04-26,,SEA,5,,,SD (USL),4,,,,,,,,
2023-04-26,,BHM (USL),1,,,Chattanooga FC,1,,,,,,,,
2023-04-26,,POR,3,,,OC (USL),1,,,,,,,,
2023-04-26,,NSH,1,,,SA (USL),0,,,,,,,,
2023-05-09,,MIA,1,,,CHS (USL),0,,,,,,,,
2023-05-09,,CLT,1,,,ORL,0,,,,,,,,
2023-05-09,,NYRB,1,,,DCU,0,,,,,,,,
2023-05-09,,NER,0,,,PIT (USL),1,,,,,,,,
2023-05-10,,CIN,1,,,NYC,0,,,,,,,,
2023-05-09,,CHI,2,,,STL,1,,,,,,,,
2023-05-10,,LDN (USL),1,,,CLB,5,,,,,,,,
2023-05-09,,MB (USL),2,,,LAFC,2,,,,,,,,
2023-05-09,,SAC (USL),2,,,COL,4,,,,,,,,
2023-05-09,,MIN,3,,,PHI,3,,,,,,,,
2023-05-10,,BHM (USL),3,,,MEM (USL),0,,,,,,,,
2023-05-10,,NSH,2,,,FCD,0,,,,,,,,
2023-05-10,,LAG,3,,,SEA,1,,,,,,,,
